;Date;Open;High;Low;Close;Adj Close;Volume;Action
241;2020-12-15;1.2149;1.2166;1.2127;1.2149;1.2149;0.0;hold
242;2020-12-16;1.2154;1.2213;1.2147;1.2154;1.2154;0.0;hold
243;2020-12-17;1.2197;1.2263;1.2192;1.22;1.22;0.0;hold
244;2020-12-18;1.2262;1.2268;1.2227;1.2263;1.2263;0.0;hold
245;2020-12-21;1.2211;1.2235;1.2131;1.2216;1.2216;0.0;hold
246;2020-12-22;1.2238;1.2259;1.2166;1.2237;1.2237;0.0;hold
247;2020-12-23;1.2186;1.2219;1.2158;1.2187;1.2187;0.0;hold
248;2020-12-24;1.2194;1.2217;1.2179;1.2191;1.2191;0.0;hold
249;2020-12-25;1.2185;1.2213;1.2167;1.2185;1.2185;0.0;hold
250;2020-12-28;1.2207;1.2252;1.2184;1.2205;1.2205;0.0;hold
251;2020-12-29;1.222;1.2276;1.222;1.2223;1.2223;0.0;hold
252;2020-12-30;1.2253;1.2309;1.2252;1.2253;1.2253;0.0;hold
253;2020-12-31;1.2299;1.231;1.2223;1.23;1.23;0.0;hold
254;2021-01-01;1.2173;1.2217;1.2135;1.218;1.218;0.0;hold
255;2021-04-01;1.2249;1.231;1.2171;1.2251;1.2251;0.0;hold
256;2021-05-01;1.2253;1.2295;1.225;1.2252;1.2252;0.0;hold
257;2021-06-01;1.2299;1.235;1.2267;1.23;1.23;0.0;hold
258;2021-07-01;1.2338;1.2346;1.2247;1.2341;1.2341;0.0;hold
259;2021-08-01;1.2269;1.2282;1.2215;1.2271;1.2271;0.0;hold
260;2021-11-01;1.2188;1.22;1.2135;1.2186;1.2186;0.0;hold
261;2021-12-01;1.2162;1.2178;1.2139;1.2161;1.2161;0.0;hold
262;2021-01-13;1.2209;1.2226;1.2165;1.217;1.217;0.0;hold
